Coded_ID,Cohort,Intervention,Female,Final_grade,Final_score,Baseline_math_score,Baseline_stereotype_endorsement
1,A,-1,0,1.7,57.21,0.22,4
2,A,1,1,4,86.47,1.53,2
3,A,-1,0,3.3,81.15,-0.17,1
4,A,1,0,2,62.75,-0.04,2
5,A,-1,1,2.3,69.65,-0.17,3
6,A,1,0,4,86.49,0.09,1
7,A,1,0,3,77.48,1.79,4
8,A,-1,0,2.3,69.50,0.48,4
9,A,1,0,3,77.71,-0.96,2
10,A,-1,0,4,88.36,1.26,4
11,A,1,0,1.7,55.57,-3.31,2
12,A,-1,0,3.3,81.66,-2.40,3
13,A,1,0,1,40.98,-1.09,1
14,A,-1,0,4,97.73,1.79,1
15,A,-1,0,4,86.31,-0.70,1
16,A,-1,0,3.3,81.87,1.40,3
17,A,-1,0,2.3,70.58,-1.09,2
18,A,1,0,2.3,70.34,-0.31,3
19,A,1,0,2.3,69.56,0.22,3
20,A,1,0,2.7,72.20,-0.31,3
21,A,1,0,3.7,83.14,-0.04,2
22,A,-1,1,1.7,53.96,-0.83,1
23,A,-1,1,2,65.59,-0.31,3
24,A,-1,0,2.7,74.31,1.40,4
25,A,-1,0,2.7,72.05,1.00,2
26,A,-1,0,1.3,48.88,0.09,4
27,A,1,0,1.3,46.65,-0.04,1
28,A,1,1,2.3,70.52,0.48,3
29,A,-1,0,4,87.28,0.61,3
30,A,-1,0,1,41.17,-0.57,1
31,A,-1,0,2,62.52,0.09,1
32,A,-1,1,2,65.10,1.53,4
33,A,-1,0,3.3,80.37,-1.88,3
34,A,1,0,2.7,74.42,1.40,1
35,A,-1,0,3,76.47,-0.31,3
36,A,-1,0,1.7,53.92,-0.04,5
37,A,1,0,2.3,67.29,-1.35,1
38,A,1,0,1.7,58.65,-0.04,1
39,A,1,0,4,89.30,1.53,1
40,A,-1,0,2.3,66.81,0.48,3
41,A,1,0,3.7,83.15,0.48,1
42,A,1,0,2.7,72.64,1.13,3
43,A,1,0,2.3,68.16,-0.17,3
44,A,1,0,2.7,73.43,-0.04,5
45,A,1,0,3.3,80.57,-1.61,3
46,A,1,0,3.7,84.62,-0.44,4
47,A,-1,0,2.3,70.57,1.13,1
48,A,1,0,4,88.61,-0.31,1
49,A,1,0,2.3,67.61,1.13,2
50,A,1,0,3.3,79.63,-0.04,2
51,A,-1,0,3.3,78.62,-0.31,5
52,A,-1,0,2,62.41,0.09,1
53,A,1,1,4,87.86,2.05,2
54,A,1,0,1.7,59.06,-1.35,1
55,A,1,0,1.7,60.10,1.53,2
56,A,1,0,3.7,84.34,1.53,4
57,A,-1,0,3,75.21,0.09,3
58,A,1,0,3.3,79.13,-0.83,1
59,A,1,0,2.7,71.55,-1.22,3
60,A,-1,0,3,78.01,0.74,3
61,A,1,1,3,76.52,-0.04,3
62,A,-1,1,3,75.93,1.13,3
63,A,1,0,1.3,51.13,-1.74,1
64,A,-1,1,0,23.49,-2.40,1
65,A,1,0,1.7,53.45,-1.09,1
66,A,1,0,2,66.24,0.09,3
67,A,1,0,3,76.83,-0.57,1
68,A,-1,0,2.3,67.64,-0.31,3
69,A,-1,1,3.7,85.09,0.74,1
70,A,1,0,4,92.20,1.13,4
71,A,-1,1,2.7,71.71,0.09,1
72,A,1,0,2,65.85,-0.31,3
73,A,-1,0,2,62.92,-0.70,4
74,A,-1,1,2,66.29,0.35,1
75,A,-1,1,2,65.83,-0.44,1
76,A,-1,0,1.7,58.65,-0.83,1
77,A,1,0,2.3,68.89,0.35,3
78,A,-1,1,2.7,73.19,0.35,3
79,A,1,0,4,91.04,0.48,3
80,A,-1,0,2.7,72.68,0.35,3
81,A,-1,1,2.7,73.54,-0.17,4
82,A,1,0,3.3,80.95,-0.44,3
83,A,-1,1,2.7,73.85,0.61,1
84,A,1,0,2.7,73.64,-0.44,3
85,A,1,0,1.7,52.13,1.13,1
86,A,1,0,3,76.37,-0.57,2
87,A,-1,1,4,92.06,0.87,1
88,A,-1,1,2.3,70.74,0.09,1
89,A,1,1,2.7,72.19,0.35,3
90,A,-1,0,3.3,80.16,0.09,2
91,A,-1,0,3.3,81.99,1.00,2
92,A,-1,0,2.3,68.39,-0.17,1
93,A,-1,0,2.7,72.46,-1.09,1
94,A,-1,1,2,64.76,-0.31,4
95,A,-1,1,1.7,61.72,1.26,4
96,A,-1,0,2.7,71.35,-0.17,3
97,A,-1,0,2.3,67.88,0.09,5
98,A,-1,0,2.3,69.34,0.35,1
99,A,1,0,2.3,67.58,-0.17,4
100,A,-1,0,1.7,55.38,-1.35,1
101,A,1,0,2.7,74.42,-0.04,2
102,A,1,1,2.3,69.30,-0.70,3
103,A,1,0,2,62.36,-0.57,3
104,A,-1,0,1,40.78,-0.44,1
105,A,1,1,2,63.68,-2.66,1
106,A,-1,1,3.7,82.34,-0.31,2
107,A,1,0,2.3,68.63,-0.57,1
108,A,1,0,3.3,81.94,-0.04,4
109,A,1,0,3.7,83.24,1.92,1
110,A,-1,1,3.3,80.37,-0.04,5
111,A,1,0,4,87.90,1.53,1
112,A,-1,0,2,62.88,0.09,3
113,A,-1,1,1.7,54.88,0.22,4
114,A,1,0,1.7,61.15,-0.31,1
115,A,1,0,3.7,84.61,0.48,1
116,A,-1,1,2,65.40,-1.09,3
117,A,1,0,1.7,60.69,-0.04,1
118,A,-1,0,1.7,55.03,-1.09,4
119,A,1,0,2.7,72.88,0.61,2
120,A,1,0,3,75.67,-0.31,1
121,A,-1,1,1.7,51.87,-0.44,1
122,A,1,0,2,61.52,-1.09,4
123,A,1,0,3,77.92,1.92,1
124,A,1,0,3.3,78.24,0.35,3
125,A,1,0,2.3,66.40,-0.17,1
126,A,-1,0,1.7,61.16,0.22,4
127,A,1,1,2.7,70.74,0.74,3
128,A,1,1,3.7,84.83,1.79,1
129,A,1,0,3.3,80.52,0.48,3
130,A,-1,0,2.3,69.13,1.92,1
131,A,-1,0,2,65.17,-1.09,1
132,A,1,1,4,90.67,0.87,1
133,A,-1,0,4,86.31,-0.04,2
134,A,1,0,1,39.24,0.74,1
135,A,1,1,1,43.34,-0.57,1
136,A,1,1,1,44.77,-1.22,1
137,A,1,1,1.7,61.21,-0.57,3
138,A,1,1,1.3,46.19,-0.57,2
139,A,1,0,2.7,70.82,-0.04,1
140,A,1,0,3,76.25,-0.04,1
141,A,-1,1,2.3,69.18,-0.31,4
142,A,-1,0,1.3,48.31,-1.22,2
143,A,1,0,2.7,70.84,1.13,2
144,A,-1,0,3.7,85.66,-0.31,1
145,A,-1,1,2.3,68.49,0.09,4
146,A,1,0,1.7,60.37,0.09,3
147,A,1,0,1.7,55.79,1.53,3
148,A,1,1,3.7,84.60,0.61,4
149,A,-1,0,3.3,77.99,-0.17,3
150,A,-1,0,2.7,71.72,0.74,2
151,A,-1,0,2,65.94,1.26,1
152,A,1,0,3,75.14,1.13,1
153,A,1,0,1.3,51.03,-1.22,1
154,A,1,0,4,87.51,1.79,2
155,A,1,0,1.7,54.34,-0.57,4
156,A,-1,0,1.7,58.63,0.87,3
157,A,1,1,2.3,69.41,-0.31,1
158,A,1,0,1.7,59.83,-1.88,1
159,A,1,0,2.7,73.40,0.35,1
160,A,-1,1,2,65.48,-1.09,1
161,A,-1,0,4,86.82,0.74,5
162,A,1,1,3,75.30,-0.31,1
163,A,-1,0,2.7,73.51,-0.04,2
164,A,-1,0,2,64.23,-0.83,1
165,A,1,0,1.7,57.52,-0.17,3
166,A,1,0,3,75.71,-0.04,1
167,A,1,1,2.7,73.29,0.35,1
168,A,1,1,4,92.24,1.53,3
169,A,1,0,2,65.88,-0.17,3
170,A,-1,0,4,89.76,0.09,3
171,A,-1,0,3.3,80.20,0.87,2
172,A,1,0,2,62.82,-0.31,4
173,A,-1,1,2,62.22,-1.88,2
174,A,1,0,1.7,52.48,-1.61,1
175,A,1,0,2.7,73.68,-0.04,3
176,A,1,0,3,77.81,1.13,3
177,A,1,0,2,64.68,0.22,2
178,A,1,1,1.7,51.78,-1.35,5
179,A,-1,0,2.7,71.65,-0.31,3
180,A,-1,0,1.7,56.13,-0.04,3
181,A,-1,0,2,64.59,-0.44,4
182,A,-1,1,1.3,49.69,0.09,1
183,A,1,1,4,87.84,-0.57,2
184,A,1,0,3.3,78.39,1.13,5
185,A,-1,0,1,45.62,-0.96,5
186,A,1,0,2.7,71.01,-0.57,2
187,A,-1,1,0,25.88,-0.83,2
188,A,1,1,2.7,71.93,-0.04,3
189,A,1,0,1,41.07,-1.09,2
190,A,-1,0,2.3,67.10,1.40,1
191,A,1,0,3.3,80.17,1.40,1
192,A,-1,1,2.3,68.77,-0.17,3
193,A,1,0,3.7,83.31,0.87,1
194,A,-1,0,2.7,74.05,-0.31,1
195,A,1,0,2,63.69,0.61,3
196,A,1,1,2.3,69.96,-0.31,1
197,A,1,0,3,77.52,0.87,3
198,A,1,0,0,26.89,-3.71,1
199,A,1,0,3.3,80.74,-0.83,3
200,A,-1,0,4,88.15,-0.04,3
201,A,1,0,2.3,70.38,-0.04,2
202,A,1,0,3.7,83.21,1.26,1
203,A,1,1,2.7,71.80,-0.04,1
204,A,1,0,2.7,72.96,-1.22,3
205,A,1,0,3,77.77,-0.44,3
206,A,1,1,1.3,48.38,-0.57,3
207,A,1,0,3.7,82.26,1.26,3
208,A,-1,0,2,63.32,-0.44,2
209,A,1,0,2.3,70.54,1.53,2
210,A,1,1,3,76.44,-0.04,1
211,A,1,0,2,61.41,0.74,1
212,A,1,0,2.7,74.51,-0.57,1
213,A,-1,0,2,66.38,-0.57,3
214,A,1,0,1.7,59.85,0.48,1
215,A,-1,1,3,76.49,-0.04,2
216,A,1,0,2.3,68.78,-1.35,1
217,A,1,0,3,76.06,1.79,3
218,A,-1,1,1.7,53.35,-0.04,1
219,A,-1,0,4,91.71,0.61,1
220,A,1,0,4,92.32,0.22,3
221,A,1,0,2.3,68.49,0.74,1
222,A,1,0,2,63.46,1.00,2
223,A,-1,0,3.7,84.34,0.22,3
224,A,-1,0,1.7,58.71,0.61,1
225,A,1,0,3.7,83.89,0.22,3
226,A,1,0,3.3,80.18,-0.83,3
227,A,1,1,2.3,67.79,-0.31,1
228,A,-1,0,4,87.37,1.92,3
229,A,1,0,3.7,85.72,0.48,3
230,A,1,1,2.7,70.94,0.09,1
231,A,1,0,3.3,79.36,0.87,2
232,A,-1,0,1.7,60.09,-0.96,3
233,A,1,0,3.7,82.87,-0.57,1
234,A,1,0,1.7,57.46,0.22,1
235,A,-1,0,NA,4.76,0.87,1
236,A,-1,1,2.3,66.68,-2.14,1
237,A,1,0,3.3,79.81,-1.48,1
238,A,-1,0,3.7,85.74,1.13,1
239,A,1,0,1.7,54.38,0.22,3
240,A,-1,1,0,50.25,-0.04,4
241,A,1,1,4,87.89,-0.04,1
242,A,1,0,2.7,73.65,0.48,4
243,A,-1,0,4,87.80,0.74,1
244,A,1,0,2.7,72.43,0.22,2
245,A,1,1,1.7,51.89,-0.57,4
246,A,1,0,2,64.18,-0.04,1
247,A,1,0,1.3,50.13,-0.83,3
248,A,1,0,2.3,70.04,0.48,2
249,A,1,0,3.7,83.75,-0.44,1
250,A,1,0,2.7,73.56,0.09,1
251,A,-1,0,2,62.27,1.40,2
252,A,1,0,3.7,82.63,0.22,1
253,A,-1,0,1.3,50.05,-0.31,5
254,A,-1,1,1.7,56.32,-1.35,4
255,A,1,1,2.7,71.52,-0.96,5
256,A,1,0,3.7,84.05,-0.04,5
257,A,1,0,2.7,73.84,-0.70,3
258,A,1,1,1.7,59.31,-1.35,1
259,A,-1,1,3.7,83.50,0.09,1
260,A,1,0,2.7,72.44,-0.31,1
261,A,-1,1,2,62.49,-1.09,5
262,A,-1,0,2,65.76,-0.96,3
263,A,-1,0,3.3,78.87,0.48,1
264,A,1,1,1.7,58.05,-0.31,1
265,A,-1,0,1.3,47.86,-0.04,2
266,A,1,0,2.3,66.68,-0.57,3
267,A,-1,1,3.7,83.07,0.48,2
268,A,-1,0,3.7,85.79,1.79,1
269,A,-1,0,2,61.38,-0.04,3
270,A,1,0,2.7,74.44,-0.57,1
271,A,-1,0,1.7,49.59,0.09,5
272,A,1,0,4,93.56,0.61,3
273,A,1,0,2.3,70.46,0.61,3
274,A,1,1,3.7,83.41,-0.57,1
275,A,-1,1,1.7,53.55,-1.22,4
276,A,-1,0,2,61.69,-0.04,3
277,A,1,1,4,90.34,0.61,2
278,A,-1,1,2,63.00,-3.71,2
279,A,-1,0,3,75.98,0.87,4
280,A,-1,0,1.7,51.82,-0.57,2
281,A,1,0,4,89.51,1.00,1
282,A,1,0,2.3,66.97,0.22,1
283,A,1,0,3.3,77.99,1.53,2
284,A,-1,0,3.3,80.34,-0.44,2
285,A,1,1,1.7,50.89,-0.44,1
286,A,1,0,3.3,81.12,0.22,1
287,A,1,0,3.3,80.98,-0.31,1
288,A,1,0,2.3,67.75,-0.17,1
289,A,-1,0,2,61.69,-0.31,1
290,A,-1,0,2.3,66.80,-1.74,1
291,A,-1,1,2.7,72.21,0.22,1
292,A,-1,1,3.3,78.88,0.09,2
293,A,-1,0,3,77.08,0.22,1
294,A,1,0,1,40.30,1.13,4
295,A,1,0,3.3,79.88,1.13,3
296,A,-1,0,3.7,83.62,0.74,4
297,A,-1,1,2,64.47,-0.57,5
